match;round;round_begin;frame_nr
8;1;3:38:16;785760
8;2;3:41:24;797040
8;3;3:45:54;813240
8;4;3:48:17;821820
8;5;3:50:3;828180
8;6;3:52:52;838320
8;7;3:54:50;845400
8;8;3:57:10;853800
8;9;3:58:42;859320
8;10;4:1:41;870060
8;11;4:5:7;882420
8;12;4:6:25;887100
8;13;4:8:57;896220
8;14;4:10:42;902520
8;15;4:12:56;910560
8;16;4:16:23;922980
8;17;4:18:55;932100
8;18;4:20:56;939360
8;19;4:22:48;946080
8;20;4:24:31;952260
8;21;4:27:56;964560
8;22;4:30:43;974580
8;23;4:33:26;984360
8;24;4:36:56;996960
8;25;4:38:31;1002660
8;26;4:40:56;1011360
8;27;4:43:10;1019400
8;28;4:45:21;1027260
8;29;None;None;None
8;30;None;None;None
8;31;None;None;None
8;32;4:58:17;1073820
8;33;5:1:9;1084140
8;34;5:2:55;1090500
8;35;5:5:24;1099440
8;36;5:7:36;1107360
8;37;5:10:5;1116300
8;38;5:11:39;1121940
8;39;5:14:0;1130400
8;40;5:16:33;1139580
8;41;5:18:38;1147080
8;42;5:20:35;1154100
