match;round;round_begin;frame_nr
11;1;8:14:2;1778474
11;2;8:16:37;1787773
11;3;8:17:54;1792393
11;4;8:19:14;1797193
11;5;8:20:47;1802773
11;6;8:22:7;1807573
11;7;8:23:54;1813993
11;8;8:25:50;1820953
11;9;8:27:31;1827012
11;10;8:28:46;1831512
11;11;8:30:39;1838292
11;12;8:32:5;1843452
11;13;8:34:51;1853412
11;14;8:36:53;1860732
11;15;8:38:19;1865891
11;16;8:41:44;1878191
11;17;8:44:36;1888511
11;18;8:45:44;1892591
11;19;8:47:35;1899251
11;20;8:50:7;1908370
11;21;8:51:3;1911730
11;22;8:52:17;1916170
11;23;8:53:51;1921810
11;24;8:56:41;1932010
11;25;8:59:4;1940590
11;26;9:1:6;1947909
11;27;9:3:48;1957629
11;28;9:6:15;1966449
11;29;9:7:36;1971309
11;30;None;None;None
11;31;None;None;None
11;32;9:14:28;1996028
11;33;9:16:19;2002688
11;34;9:18:5;2009048
11;35;9:20:33;2017928
11;36;9:22:57;2026567
