match;round;round_begin;frame_nr
9;1;5:39:45;1223090
9;2;5:42:16;1232150
9;3;5:44:30;1240190
9;4;5:45:45;1244690
9;5;5:47:57;1252610
9;6;5:49:16;1257350
9;7;5:51:7;1264010
9;8;5:53:20;1271990
9;9;5:55:35;1280090
9;10;5:58:15;1289690
9;11;6:2:1;1303250
9;12;6:3:30;1308590
9;13;6:6:11;1318250
9;14;6:9:3;1328570
9;15;6:10:52;1335110
9;16;6:15:21;1351249
9;17;6:18:55;1364089
9;18;6:20:59;1371529
9;19;6:22:38;1377469
9;20;6:24:34;1384429
9;21;6:26:39;1391929
9;22;6:29:21;1401649
9;23;6:31:29;1409329
