match;round;round_begin;frame_nr
8;1;3:38:16;785754
8;2;3:41:24;797034
8;3;3:45:54;813233
8;4;3:48:16;821753
8;5;3:50:2;828113
8;6;3:52:51;838253
8;7;3:54:49;845333
8;8;3:57:9;853733
8;9;3:58:41;859253
8;10;4:1:39;869933
8;11;4:5:6;882353
8;12;4:6:25;887093
8;13;4:8:57;896213
8;14;4:10:41;902453
8;15;4:12:56;910553
8;16;4:16:19;922733
8;17;4:18:56;932153
8;18;4:20:55;939292
8;19;4:22:48;946072
8;20;4:24:30;952192
8;21;4:28:0;964792
8;22;4:30:43;974572
8;23;4:33:30;984592
8;24;4:36:55;996892
8;25;4:38:31;1002652
8;26;4:40:56;1011352
8;27;4:43:9;1019332
8;28;4:45:20;1027192
8;29;None;None;None
8;30;None;None;None
8;31;None;None;None
8;32;4:59:24;1077831
8;33;5:1:7;1084011
8;34;5:2:55;1090491
8;35;5:5:24;1099431
8;36;5:7:36;1107351
8;37;5:10:5;1116291
8;38;5:11:39;1121931
8;39;5:13:58;1130271
8;40;5:16:33;1139571
8;41;5:18:38;1147071
8;42;5:20:35;1154091
