match;round;round_begin;frame_nr
5;1;7:33:3;1629350
5;2;7:33:46;1631928
5;3;7:34:43;1635344
5;4;7:35:52;1639480
5;5;7:37:45;1646253
5;6;7:39:2;1650869
5;7;7:41:11;1658601
5;8;7:42:43;1664115
5;9;7:45:2;1672447
5;10;7:46:57;1679340
5;11;7:48:0;1683116
5;12;7:47:59;1683056
5;13;7:50:31;1692167
5;14;7:52:9;1698041
5;15;7:53:11;1701758
5;16;7:59:21;1723936
5;17;7:59:40;1725074
5;18;8:1:16;1730829
5;19;8:3:23;1738441
5;20;8:5:13;1745034
5;21;8:7:21;1752707
5;22;8:9:14;1759480
5;23;8:10:31;1764095
5;24;8:12:0;1769430
5;25;8:14:19;1777762
5;26;8:16:7;1784235
5;27;8:17:31;1789270
5;28;8:20:30;1800000
5;29;8:22:26;1806953
