match;round;round_begin;frame_nr
8;1;3:38:16;785760
8;2;3:41:24;797040
8;3;3:45:54;813240
8;4;3:48:17;821820
8;5;3:50:2;828120
8;6;3:52:51;838260
8;7;3:54:49;845340
8;8;3:57:10;853800
8;9;3:58:41;859260
8;10;4:1:40;870000
8;11;4:5:6;882360
8;12;4:6:25;887100
8;13;4:8:57;896220
8;14;4:10:41;902460
8;15;4:12:56;910560
8;16;4:16:20;922800
8;17;4:18:54;932040
8;18;4:20:55;939300
8;19;4:22:48;946080
8;20;4:24:30;952200
8;21;4:28:13;965580
8;22;4:30:48;974880
8;23;4:33:28;984480
8;24;4:36:56;996960
8;25;4:38:31;1002660
8;26;4:40:56;1011360
8;27;4:43:9;1019340
8;28;4:45:20;1027200
8;29;None;None;None
8;30;None;None;None
8;31;None;None;None
8;32;4:58:5;1073100
8;33;5:1:6;1083960
8;34;5:2:55;1090500
8;35;5:5:24;1099440
8;36;5:7:36;1107360
8;37;5:10:5;1116300
8;38;5:11:39;1121940
8;39;5:14:2;1130520
8;40;5:16:33;1139580
8;41;5:18:38;1147080
8;42;5:20:35;1154100
