match;round;round_begin;frame_nr
4;1;6:14:4;1345294
4;2;6:15:5;1348951
4;3;6:17:20;1357042
4;4;6:20:46;1369390
4;5;6:22:7;1374245
4;6;6:24:32;1382937
4;7;6:27:4;1392047
4;8;6:28:47;1398221
4;9;6:29:53;1402177
4;10;6:32:8;1410269
4;11;6:34:20;1418181
4;12;6:36:29;1425914
4;13;6:37:54;1431008
4;14;6:39:35;1437062
4;15;6:39:48;1437842
4;16;6:45:19;1457682
4;17;6:47:36;1465894
4;18;6:49:7;1471348
4;19;6:50:48;1477402
4;20;6:53:15;1486213
4;21;6:56:16;1497062
4;22;6:58:51;1506353
4;23;7:0:11;1511148
4;24;7:2:38;1519960
4;25;7:3:58;1524755
4;26;7:7:9;1536203
4;27;7:9:19;1543996
4;28;7:11:18;1551128
4;29;7:13:48;1560119
