match;round;round_begin;frame_nr
2;1;2:57:52;640320
2;2;3:0:10;648600
2;3;3:1:55;654900
2;4;3:3:31;660660
2;5;3:5:46;668760
2;6;3:7:41;675660
2;7;3:9:49;683340
2;8;3:12:1;691260
2;9;3:14:8;698880
2;10;3:15:33;703980
2;11;3:18:44;715440
2;12;3:21:24;725040
2;13;3:23:41;733260
2;14;3:25:29;739740
2;15;3:27:30;747000
2;16;3:31:44;762240
2;17;3:34:25;771900
2;18;3:36:28;779280
2;19;3:38:10;785400
2;20;3:41:30;797400
2;21;3:42:57;802620
2;22;3:45:7;810420
2;23;3:47:33;819180
2;24;3:50:11;828660
2;25;3:52:33;837180
2;26;3:54:51;845460
2;27;3:57:43;855780
2;28;4:0:26;865560
2;29;4:3:37;877020
