match;round;round_begin;frame_nr
3;1;4:21:38;941880
3;2;4:24:40;952800
3;3;4:27:40;963600
3;4;4:30:44;974640
3;5;4:33:3;982980
3;6;4:34:53;989580
3;7;4:36:44;996240
3;8;4:39:30;1006200
3;9;4:41:51;1014660
3;10;4:44:7;1022820
3;11;4:46:29;1031340
3;12;4:48:36;1038960
3;13;4:50:39;1046340
3;14;4:52:9;1051740
3;15;4:54:44;1061040
3;16;4:58:28;1074480
3;17;5:1:22;1084920
3;18;5:3:38;1093080
3;19;5:5:22;1099320
3;20;5:8:50;1111800
3;21;5:10:44;1118640
3;22;5:14:26;1131960
3;23;5:16:31;1139460
3;24;5:17:35;1143300
3;25;5:19:46;1151160
3;26;5:21:55;1158900
3;27;5:23:57;1166220
3;28;5:33:48;1201680
3;29;5:35:58;1209480
3;30;None;None;None
3;31;None;None;None
3;32;5:42:19;1232340
3;33;None;None;None
3;34;None;None;None
3;35;5:53:3;1270980
3;36;5:54:39;1276740
3;37;5:56:47;1284420
3;38;6:0:12;1296720
3;39;6:2:12;1303920
3;40;6:3:56;1310160
3;41;6:6:0;1317600
3;42;6:8:33;1326780
