match;round;round_begin;frame_nr
8;1;3:38:16;785751
8;2;3:41:24;797031
8;3;3:45:54;813231
8;4;3:48:17;821811
8;5;3:50:3;828171
8;6;3:52:52;838311
8;7;3:54:50;845391
8;8;3:57:10;853791
8;9;3:58:43;859371
8;10;4:1:40;869991
8;11;4:5:7;882410
8;12;4:6:25;887090
8;13;4:8:57;896210
8;14;4:10:42;902510
8;15;4:12:56;910550
8;16;4:16:21;922850
8;17;4:18:55;932090
8;18;4:20:56;939350
8;19;4:22:48;946070
8;20;4:24:39;952730
8;21;4:27:58;964670
8;22;4:30:52;975109
8;23;4:33:26;984349
8;24;4:36:56;996949
8;25;4:38:31;1002649
8;26;4:40:56;1011349
8;27;4:43:10;1019389
8;28;4:45:21;1027249
8;29;None;None;None
8;30;None;None;None
8;31;None;None;None
8;32;4:58:8;1073268
8;33;5:1:25;1085088
8;34;5:2:55;1090488
8;35;5:5:24;1099428
8;36;5:7:36;1107348
8;37;5:10:5;1116288
8;38;5:11:39;1121928
8;39;5:14:8;1130868
8;40;5:16:33;1139568
8;41;5:18:38;1147068
8;42;5:20:35;1154088
