match;round;round_begin;frame_nr
8;1;3:38:15;785679
8;2;3:41:23;796959
8;3;3:45:53;813159
8;4;3:48:15;821678
8;5;3:50:1;828038
8;6;3:52:50;838178
8;7;3:54:48;845258
8;8;3:57:8;853658
8;9;3:58:40;859177
8;10;4:1:40;869977
8;11;4:5:5;882277
8;12;4:6:24;887017
8;13;4:8:56;896136
8;14;4:10:40;902376
8;15;4:12:55;910476
8;16;4:16:21;922836
8;17;4:18:58;932256
8;18;4:20:54;939215
8;19;4:22:47;945995
8;20;4:24:31;952235
8;21;4:27:54;964415
8;22;4:30:46;974734
8;23;4:33:27;984394
8;24;4:36:54;996814
8;25;4:38:30;1002574
8;26;4:40:55;1011273
8;27;4:43:8;1019253
8;28;4:45:19;1027113
8;29;None;None;None
8;30;None;None;None
8;31;None;None;None
8;32;4:58:7;1073192
8;33;5:1:7;1083992
8;34;5:2:53;1090351
8;35;5:5:23;1099351
8;36;5:7:35;1107271
8;37;5:10:4;1116211
8;38;5:11:38;1121851
8;39;5:14:1;1130430
8;40;5:16:32;1139490
8;41;5:18:37;1146990
8;42;5:20:34;1154010
