match;round;round_begin;frame_nr
11;1;8:14:2;1778505
11;2;8:16:38;1787865
11;3;8:17:55;1792485
11;4;8:19:14;1797225
11;5;8:20:47;1802805
11;6;8:22:7;1807605
11;7;8:23:54;1814025
11;8;8:25:50;1820985
11;9;8:26:28;1823265
11;10;8:28:46;1831545
11;11;8:30:43;1838565
11;12;8:32:5;1843485
11;13;8:34:51;1853445
11;14;8:36:54;1860825
11;15;8:38:20;1865985
11;16;8:41:43;1878165
11;17;8:44:36;1888544
11;18;8:45:44;1892624
11;19;8:47:35;1899284
11;20;8:50:7;1908404
11;21;8:51:3;1911764
11;22;8:52:17;1916204
11;23;8:53:51;1921844
11;24;8:56:41;1932044
11;25;8:59:5;1940684
11;26;9:1:7;1948004
11;27;9:3:48;1957664
11;28;9:6:15;1966484
11;29;9:7:36;1971344
11;30;None;None;None
11;31;None;None;None
11;32;9:14:42;1996904
11;33;9:15:59;2001524
11;34;9:18:4;2009024
11;35;9:20:34;2018023
11;36;9:22:57;2026603
