match;round;round_begin;frame_nr
5;1;8:28:42;1831320
5;2;8:31:9;1840140
5;3;8:32:7;1843620
5;4;8:33:9;1847340
5;5;8:34:52;1853520
5;6;8:36:17;1858620
5;7;8:38:26;1866360
5;8;8:39:47;1871220
5;9;8:42:17;1880220
5;10;8:44:9;1886940
5;11;8:45:7;1890420
5;12;8:45:54;1893240
5;13;8:47:10;1897800
5;14;8:49:14;1905240
5;15;8:50:25;1909500
5;16;8:55:6;1926360
5;17;8:57:4;1933440
5;18;8:58:31;1938660
5;19;9:0:23;1945380
5;20;9:2:29;1952940
5;21;9:4:5;1958700
5;22;9:6:32;1967520
5;23;9:7:47;1972020
5;24;9:9:24;1977840
5;25;9:11:30;1985400
5;26;9:13:16;1991760
5;27;9:14:42;1996920
5;28;9:17:17;2006220
5;29;9:19:30;2014200
