match;round;round_begin;frame_nr
2;1;2:57:55;640500
2;2;3:0:11;648660
2;3;3:1:56;654960
2;4;3:3:32;660720
2;5;3:5:46;668760
2;6;3:7:42;675720
2;7;3:9:50;683400
2;8;3:12:2;691320
2;9;3:14:8;698880
2;10;3:15:33;703980
2;11;3:18:46;715560
2;12;3:21:25;725100
2;13;3:23:42;733320
2;14;3:25:30;739800
2;15;3:27:34;747240
2;16;3:31:47;762420
2;17;3:34:26;771960
2;18;3:36:29;779340
2;19;3:38:11;785460
2;20;3:41:30;797400
2;21;3:42:58;802680
2;22;3:45:8;810480
2;23;3:47:34;819240
2;24;3:50:12;828720
2;25;3:52:34;837240
2;26;3:54:52;845520
2;27;3:57:46;855960
2;28;4:0:23;865380
2;29;4:3:37;877020
