match;round;round_begin;frame_nr
8;1;3:38:16;785760
8;2;3:41:23;796980
8;3;3:45:54;813240
8;4;3:48:16;821760
8;5;3:50:2;828120
8;6;3:52:51;838260
8;7;3:54:49;845340
8;8;3:57:9;853740
8;9;3:58:41;859260
8;10;4:1:41;870060
8;11;4:5:6;882360
8;12;4:6:25;887100
8;13;4:8:57;896220
8;14;4:10:41;902460
8;15;4:12:55;910500
8;16;4:16:21;922860
8;17;4:18:57;932220
8;18;4:20:55;939300
8;19;4:22:48;946080
8;20;4:24:29;952140
8;21;4:27:54;964440
8;22;4:30:43;974580
8;23;4:33:34;984840
8;24;4:36:55;996900
8;25;4:38:31;1002660
8;26;4:40:56;1011360
8;27;4:43:10;1019400
8;28;4:45:20;1027200
8;29;None;None;None
8;30;None;None;None
8;31;None;None;None
8;32;4:58:22;1074120
8;33;5:1:12;1084320
8;34;5:2:54;1090440
8;35;5:5:24;1099440
8;36;5:7:35;1107300
8;37;5:10:4;1116240
8;38;5:11:39;1121940
8;39;5:14:0;1130400
8;40;5:16:32;1139520
8;41;5:18:38;1147080
8;42;5:20:35;1154100
