match;round;round_begin;frame_nr
6;1;9:34:52;2069520
6;2;9:37:9;2077740
6;3;9:38:59;2084340
6;4;9:40:20;2089200
6;5;9:41:25;2093100
6;6;9:43:48;2101680
6;7;9:45:4;2106240
6;8;9:46:57;2113020
6;9;9:49:17;2121420
6;10;9:51:0;2127600
6;11;9:51:57;2131020
6;12;9:53:54;2138040
6;13;9:56:42;2148120
6;14;9:59:16;2157360
6;15;10:0:46;2162760
6;16;10:4:36;2176560
6;17;10:7:28;2186880
6;18;10:9:32;2194320
6;19;10:11:47;2202420
6;20;10:14:8;2210880
6;21;10:16:47;2220420
6;22;10:18:47;2227620
6;23;10:21:11;2236260
6;24;10:23:43;2245380
6;25;None;None;None
