match;round;round_begin;frame_nr
3;1;4:21:41;942060
3;2;4:24:41;952860
3;3;4:27:42;963720
3;4;4:30:45;974700
3;5;4:33:4;983040
3;6;4:34:54;989640
3;7;4:36:45;996300
3;8;4:39:31;1006260
3;9;4:41:52;1014720
3;10;4:44:8;1022880
3;11;4:46:19;1030740
3;12;4:48:38;1039080
3;13;4:50:48;1046880
3;14;4:52:3;1051380
3;15;4:54:21;1059660
3;16;4:58:30;1074600
3;17;5:1:23;1084980
3;18;5:3:39;1093140
3;19;5:5:23;1099380
3;20;5:8:51;1111860
3;21;5:10:45;1118700
3;22;5:14:27;1132020
3;23;5:16:28;1139280
3;24;5:17:36;1143360
3;25;5:19:47;1151220
3;26;5:21:56;1158960
3;27;5:23:58;1166280
3;28;5:33:49;1201740
3;29;5:35:59;1209540
3;30;None;None;None
3;31;None;None;None
3;32;5:42:46;1233960
3;33;None;None;None
3;34;None;None;None
3;35;5:52:50;1270200
3;36;5:54:40;1276800
3;37;5:56:49;1284540
3;38;6:0:8;1296480
3;39;6:2:13;1303980
3;40;6:3:57;1310220
3;41;6:6:1;1317660
3;42;6:8:34;1326840
