match;round;round_begin;frame_nr
4;1;7:9:50;1547400
4;2;7:12:29;1556940
4;3;7:14:36;1564560
4;4;7:17:57;1576620
4;5;7:19:31;1582260
4;6;7:21:46;1590360
4;7;7:24:13;1599180
4;8;7:26:3;1605780
4;9;7:27:7;1609620
4;10;7:29:19;1617540
4;11;7:31:36;1625760
4;12;7:33:39;1633140
4;13;7:35:4;1638240
4;14;7:36:42;1644120
4;15;7:38:3;1648980
4;16;7:41:8;1660080
4;17;7:43:31;1668660
4;18;7:46:18;1678680
4;19;7:48:2;1684920
4;20;7:50:22;1693320
4;21;7:53:39;1705140
4;22;7:55:55;1713300
4;23;7:57:24;1718640
4;24;7:59:20;1725600
4;25;8:1:14;1732440
4;26;8:4:33;1744380
4;27;8:6:26;1751160
4;28;8:8:43;1759380
4;29;8:10:58;1767480
