match;round;round_begin;frame_nr
4;1;7:9:49;1547340
4;2;7:12:28;1556880
4;3;7:14:35;1564500
4;4;7:17:56;1576560
4;5;7:19:30;1582200
4;6;7:21:45;1590300
4;7;7:24:12;1599120
4;8;7:26:2;1605720
4;9;7:27:6;1609560
4;10;7:29:18;1617480
4;11;7:31:37;1625820
4;12;7:33:39;1633140
4;13;7:35:3;1638180
4;14;7:36:41;1644060
4;15;7:37:58;1648680
4;16;7:41:7;1660020
4;17;7:43:30;1668600
4;18;7:46:17;1678620
4;19;7:48:1;1684860
4;20;7:50:21;1693260
4;21;7:53:38;1705080
4;22;7:55:54;1713240
4;23;7:57:23;1718580
4;24;7:59:19;1725540
4;25;8:1:13;1732380
4;26;8:4:33;1744380
4;27;8:6:25;1751100
4;28;8:8:42;1759320
4;29;8:10:57;1767420
