match;round;round_begin;frame_nr
6;1;8:39:4;1866773
6;2;8:39:47;1869350
6;3;8:41:35;1875824
6;4;8:43:3;1881098
6;5;8:44:22;1885834
6;6;8:46:34;1893746
6;7;8:47:45;1898001
6;8;8:49:45;1905194
6;9;8:52:43;1915864
6;10;8:53:54;1920119
6;11;8:54:50;1923476
6;12;8:56:41;1930129
6;13;8:59:31;1940319
6;14;9:2:3;1949430
6;15;9:3:32;1954765
6;16;9:8:49;1973766
6;17;9:10:13;1978801
6;18;9:12:24;1986653
6;19;9:14:30;1994205
6;20;9:16:58;2003076
6;21;9:19:39;2012727
6;22;9:21:35;2019680
6;23;9:23:59;2028311
6;24;9:25:4;2032207
6;25;9:29:10;2046953
