match;round;round_begin;frame_nr
8;1;3:38:15;785692
8;2;3:41:23;796972
8;3;3:45:53;813172
8;4;3:48:16;821751
8;5;3:50:1;828051
8;6;3:52:50;838191
8;7;3:54:48;845271
8;8;3:57:8;853671
8;9;3:58:40;859191
8;10;4:1:39;869931
8;11;4:5:5;882291
8;12;4:6:24;887031
8;13;4:8:56;896151
8;14;4:10:40;902391
8;15;4:12:55;910491
8;16;4:16:19;922730
8;17;4:18:53;931970
8;18;4:20:54;939230
8;19;4:22:47;946010
8;20;4:24:30;952190
8;21;4:27:56;964550
8;22;4:30:42;974510
8;23;4:33:27;984410
8;24;4:36:55;996890
8;25;4:38:30;1002590
8;26;4:40:55;1011290
8;27;4:43:8;1019269
8;28;4:45:19;1027129
8;29;None;None;None
8;30;None;None;None
8;31;None;None;None
8;32;4:59:21;1077649
8;33;5:1:6;1083949
8;34;5:2:54;1090429
8;35;5:5:23;1099369
8;36;5:7:35;1107289
8;37;5:10:4;1116229
8;38;5:11:38;1121868
8;39;5:13:57;1130208
8;40;5:16:32;1139508
8;41;5:18:37;1147008
8;42;5:20:34;1154028
